codigo,nombre,representante,contacto,departamento_nombre,municipio_nombre
PROV_GT13_0215,Taxis del Centro San Mateo Ixtatán - Ref 216,Miguel López,+502 46901116,Huehuetenango,San Mateo Ixtatán
PROV_GT13_0216,Transportes Colotenango - Ref 217,Esteban Pérez,+502 42502301,Huehuetenango,Colotenango
PROV_GT13_0217,Autobuses San Sebastián Huehuetenango - Ref 218,María Gómez,+502 58929141,Huehuetenango,San Sebastián Huehuetenango
PROV_GT13_0218,Lancheros Unidos Tectitán - Ref 219,Luisa Gómez,+502 41757978,Huehuetenango,Tectitán
PROV_GT13_0219,Fleteros del Altiplano Concepción Huista - Ref 220,Pedro Marroquín,+502 45176142,Huehuetenango,Concepción Huista
PROV_GT13_0220,Cooperativa de Transportistas San Juan Ixcoy - Ref 221,Juan Marroquín,+502 41551039,Huehuetenango,San Juan Ixcoy
PROV_GT13_0221,Rápidos de Occidente San Antonio Huista - Ref 222,Luisa Chaj,+502 50986312,Huehuetenango,San Antonio Huista
PROV_GT13_0222,Shuttles San Sebastián Coatán - Ref 223,Juana López,+502 59976031,Huehuetenango,San Sebastián Coatán
PROV_GT13_0223,Taxis del Centro Barillas - Ref 224,Luisa Batz,+502 46661993,Huehuetenango,Barillas
PROV_GT13_0224,Transportes Aguacatán - Ref 225,Luisa López,+502 56552766,Huehuetenango,Aguacatán
PROV_GT13_0225,Autobuses San Rafael Petzal - Ref 226,María Gómez,+502 42623180,Huehuetenango,San Rafael Petzal
PROV_GT13_0226,Lancheros Unidos San Gaspar Ixchil - Ref 227,Luisa Marroquín,+502 51474400,Huehuetenango,San Gaspar Ixchil
PROV_GT13_0227,Fleteros del Altiplano Santiago Chimaltenango - Ref 228,Elena Guzmán,+502 40401592,Huehuetenango,Santiago Chimaltenango
PROV_GT13_0228,Cooperativa de Transportistas Santa Ana Huista - Ref 229,Manuel López,+502 57252885,Huehuetenango,Santa Ana Huista
PROV_GT13_0229,Rápidos de Occidente Unión Cantinil - Ref 230,Elena Cox,+502 56308779,Huehuetenango,Unión Cantinil
PROV_GT13_0230,Shuttles Petatán - Ref 231,Juan Batz,+502 47345350,Huehuetenango,Petatán
PROV_GT14_0231,Taxis del Centro Santa Cruz del Quiché - Ref 232,Carlos Pérez,+502 58174855,Quiché,Santa Cruz del Quiché
PROV_GT14_0232,Transportes Chiché - Ref 233,Rosa Chaj,+502 50306963,Quiché,Chiché
PROV_GT14_0233,Autobuses Chinique - Ref 234,Rosa Tzul,+502 40092479,Quiché,Chinique
PROV_GT14_0234,Lancheros Unidos Zacualpa - Ref 235,Carlos Jax,+502 45922508,Quiché,Zacualpa
PROV_GT14_0235,Fleteros del Altiplano Chajul - Ref 236,Carlos Cabrera,+502 50393621,Quiché,Chajul
PROV_GT14_0236,Cooperativa de Transportistas Chichicastenango - Ref 237,Pedro Gómez,+502 58563386,Quiché,Chichicastenango
PROV_GT14_0237,Rápidos de Occidente Patzité - Ref 238,José Guzmán,+502 48026714,Quiché,Patzité
PROV_GT14_0238,Shuttles San Antonio Ilotenango - Ref 239,María Hernández,+502 40709080,Quiché,San Antonio Ilotenango
PROV_GT14_0239,Taxis del Centro San Pedro Jocopilas - Ref 240,Manuel Tzul,+502 50099321,Quiché,San Pedro Jocopilas
PROV_GT14_0240,Transportes Cunén - Ref 241,Carlos Batz,+502 52852077,Quiché,Cunén
PROV_GT14_0241,Autobuses San Juan Cotzal - Ref 242,Tomasa Guzmán,+502 49561479,Quiché,San Juan Cotzal
PROV_GT14_0242,Lancheros Unidos Joyabaj - Ref 243,Pedro Chaj,+502 59704805,Quiché,Joyabaj
PROV_GT14_0243,Fleteros del Altiplano Nebaj - Ref 244,Luisa Cox,+502 40755203,Quiché,Nebaj
PROV_GT14_0244,Cooperativa de Transportistas San Andrés Sajcabajá - Ref 245,Rosa Cabrera,+502 48568166,Quiché,San Andrés Sajcabajá
PROV_GT14_0245,Rápidos de Occidente Uspantán - Ref 246,Tomasa Yax,+502 57015301,Quiché,Uspantán
PROV_GT14_0246,Shuttles Sacapulas - Ref 247,Pedro Jax,+502 56789893,Quiché,Sacapulas
PROV_GT14_0247,Taxis del Centro San Bartolomé Jocotenango - Ref 248,Juan Guzmán,+502 52132796,Quiché,San Bartolomé Jocotenango
PROV_GT14_0248,Transportes Canillá - Ref 249,Miguel Batz,+502 53691519,Quiché,Canillá
PROV_GT14_0249,Autobuses Chicamán - Ref 250,Pedro Guzmán,+502 57049909,Quiché,Chicamán
PROV_GT14_0250,Lancheros Unidos Ixcán - Ref 251,Francisco Pérez,+502 45296844,Quiché,Ixcán
PROV_GT14_0251,Fleteros del Altiplano Pachalum - Ref 252,Esteban Gómez,+502 45799892,Quiché,Pachalum
PROV_GT15_0252,Cooperativa de Transportistas Salamá - Ref 253,Juana Tzoc,+502 50705055,Baja Verapaz,Salamá
PROV_GT15_0253,Rápidos de Occidente San Miguel Chicaj - Ref 254,Francisco Tzul,+502 41413812,Baja Verapaz,San Miguel Chicaj
PROV_GT15_0254,Shuttles Rabinal - Ref 255,Luisa Tzul,+502 40985199,Baja Verapaz,Rabinal
PROV_GT15_0255,Taxis del Centro Cubulco - Ref 256,Francisco López,+502 47321404,Baja Verapaz,Cubulco
PROV_GT15_0256,Transportes Granados - Ref 257,María Gómez,+502 43697933,Baja Verapaz,Granados
PROV_GT15_0257,Autobuses El Chol - Ref 258,Miguel Marroquín,+502 48328525,Baja Verapaz,El Chol
PROV_GT15_0258,Lancheros Unidos San Jerónimo - Ref 259,Miguel Jax,+502 54424895,Baja Verapaz,San Jerónimo
PROV_GT15_0259,Fleteros del Altiplano Purulhá - Ref 260,Luisa Guzmán,+502 52044434,Baja Verapaz,Purulhá
PROV_GT16_0260,Cooperativa de Transportistas Cobán - Ref 261,Pedro López,+502 41016586,Alta Verapaz,Cobán
PROV_GT16_0261,Rápidos de Occidente Santa Cruz Verapaz - Ref 262,Carlos Jax,+502 48929258,Alta Verapaz,Santa Cruz Verapaz
PROV_GT16_0262,Shuttles San Cristóbal Verapaz - Ref 263,Diego Chaj,+502 55013104,Alta Verapaz,San Cristóbal Verapaz
PROV_GT16_0263,Taxis del Centro Tactic - Ref 264,José Batz,+502 59152823,Alta Verapaz,Tactic
PROV_GT16_0264,Transportes Tamahú - Ref 265,Juan Guzmán,+502 52174990,Alta Verapaz,Tamahú
PROV_GT16_0265,Autobuses Tucurú - Ref 266,Pedro Cabrera,+502 58705784,Alta Verapaz,Tucurú
PROV_GT16_0266,Lancheros Unidos Panzós - Ref 267,Luisa López,+502 46232147,Alta Verapaz,Panzós
PROV_GT16_0267,Fleteros del Altiplano Senahú - Ref 268,María Cox,+502 53812059,Alta Verapaz,Senahú
PROV_GT16_0268,Cooperativa de Transportistas San Pedro Carchá - Ref 269,Miguel López,+502 55064929,Alta Verapaz,San Pedro Carchá
PROV_GT16_0269,Rápidos de Occidente San Juan Chamelco - Ref 270,María Batz,+502 44148408,Alta Verapaz,San Juan Chamelco
PROV_GT16_0270,Shuttles Lanquín - Ref 271,Manuel Pérez,+502 58202799,Alta Verapaz,Lanquín
PROV_GT16_0271,Taxis del Centro Cahabón - Ref 272,Juan Tzul,+502 45915181,Alta Verapaz,Cahabón
PROV_GT16_0272,Transportes Chisec - Ref 273,Rosa Tzul,+502 49103992,Alta Verapaz,Chisec
PROV_GT16_0273,Autobuses Chahal - Ref 274,Tomasa Batz,+502 50722974,Alta Verapaz,Chahal
PROV_GT16_0274,Lancheros Unidos Fray Bartolomé de Las Casas - Ref 275,Diego Jax,+502 58988953,Alta Verapaz,Fray Bartolomé de Las Casas
PROV_GT16_0275,Fleteros del Altiplano Santa Catalina La Tinta - Ref 276,Tomasa Pérez,+502 50635888,Alta Verapaz,Santa Catalina La Tinta
PROV_GT16_0276,Cooperativa de Transportistas Raxruhá - Ref 277,Diego Chaj,+502 56168633,Alta Verapaz,Raxruhá
PROV_GT17_0277,Rápidos de Occidente Flores - Ref 278,Esteban Chaj,+502 49581015,Petén,Flores
PROV_GT17_0278,Shuttles San José - Ref 279,Pedro Méndez,+502 45098631,Petén,San José
PROV_GT17_0279,Taxis del Centro San Benito - Ref 280,Luisa Cox,+502 50037602,Petén,San Benito
PROV_GT17_0280,Transportes San Andrés - Ref 281,Rosa Cox,+502 56197688,Petén,San Andrés
PROV_GT17_0281,Autobuses La Libertad - Ref 282,Diego Tzoc,+502 49852100,Petén,La Libertad
PROV_GT17_0282,Lancheros Unidos San Francisco - Ref 283,Esteban Hernández,+502 41051089,Petén,San Francisco
PROV_GT17_0283,Fleteros del Altiplano Santa Ana - Ref 284,Luisa Marroquín,+502 52731594,Petén,Santa Ana
PROV_GT17_0284,Cooperativa de Transportistas Dolores - Ref 285,Tomasa Hernández,+502 50816298,Petén,Dolores
PROV_GT17_0285,Rápidos de Occidente San Luis - Ref 286,Tomasa Guzmán,+502 40182749,Petén,San Luis
PROV_GT17_0286,Shuttles Sayaxché - Ref 287,María Guzmán,+502 56948114,Petén,Sayaxché
PROV_GT17_0287,Taxis del Centro Melchor de Mencos - Ref 288,Luisa Chaj,+502 41891456,Petén,Melchor de Mencos
PROV_GT17_0288,Transportes Poptún - Ref 289,Francisco Cox,+502 54466290,Petén,Poptún
PROV_GT17_0289,Autobuses Las Cruces - Ref 290,Manuel Cox,+502 51128103,Petén,Las Cruces
PROV_GT17_0290,Lancheros Unidos El Chal - Ref 291,Tomasa Batz,+502 46313774,Petén,El Chal
PROV_GT18_0291,Fleteros del Altiplano Puerto Barrios - Ref 292,Luisa Tzul,+502 50322279,Izabal,Puerto Barrios
PROV_GT18_0292,Cooperativa de Transportistas Lívingston - Ref 293,Francisco Guzmán,+502 40491736,Izabal,Lívingston
PROV_GT18_0293,Rápidos de Occidente El Estor - Ref 294,María Pérez,+502 58109325,Izabal,El Estor
PROV_GT18_0294,Shuttles Morales - Ref 295,Francisco Cox,+502 41787707,Izabal,Morales
PROV_GT18_0295,Taxis del Centro Los Amates - Ref 296,Miguel López,+502 41722962,Izabal,Los Amates
PROV_GT19_0296,Transportes Zacapa - Ref 297,Francisco Méndez,+502 53003787,Zacapa,Zacapa
PROV_GT19_0297,Autobuses Estanzuela - Ref 298,José Tzoc,+502 56324764,Zacapa,Estanzuela
PROV_GT19_0298,Lancheros Unidos Río Hondo - Ref 299,Miguel Méndez,+502 51057735,Zacapa,Río Hondo
PROV_GT19_0299,Fleteros del Altiplano Gualán - Ref 300,Esteban Batz,+502 49831333,Zacapa,Gualán
PROV_GT19_0300,Cooperativa de Transportistas Teculután - Ref 301,Manuel Hernández,+502 42559406,Zacapa,Teculután
PROV_GT19_0301,Rápidos de Occidente Usumatlán - Ref 302,Pedro Tzoc,+502 54188514,Zacapa,Usumatlán
PROV_GT19_0302,Shuttles Cabañas - Ref 303,José Cox,+502 45278905,Zacapa,Cabañas
PROV_GT19_0303,Taxis del Centro San Diego - Ref 304,Rosa Méndez,+502 57031870,Zacapa,San Diego
PROV_GT19_0304,Transportes La Unión - Ref 305,Elena Pérez,+502 49585970,Zacapa,La Unión
PROV_GT19_0305,Autobuses Huité - Ref 306,Juana Cox,+502 48109237,Zacapa,Huité
PROV_GT19_0306,Lancheros Unidos San Jorge - Ref 307,Tomasa Méndez,+502 56573208,Zacapa,San Jorge
PROV_GT20_0307,Fleteros del Altiplano Chiquimula - Ref 308,Miguel Guzmán,+502 58959771,Chiquimula,Chiquimula
PROV_GT20_0308,Cooperativa de Transportistas San José La Arada - Ref 309,Diego Yax,+502 58936191,Chiquimula,San José La Arada
PROV_GT20_0309,Rápidos de Occidente San Juan Ermita - Ref 310,Carlos Hernández,+502 45841937,Chiquimula,San Juan Ermita
PROV_GT20_0310,Shuttles Jocotán - Ref 311,Miguel Méndez,+502 42279451,Chiquimula,Jocotán
PROV_GT20_0311,Taxis del Centro Camotán - Ref 312,Esteban Cabrera,+502 58291231,Chiquimula,Camotán
PROV_GT20_0312,Transportes Olopa - Ref 313,Elena Hernández,+502 54158477,Chiquimula,Olopa
PROV_GT20_0313,Autobuses Esquipulas - Ref 314,Elena Hernández,+502 52933296,Chiquimula,Esquipulas
PROV_GT20_0314,Lancheros Unidos Concepción Las Minas - Ref 315,Elena Batz,+502 44209733,Chiquimula,Concepción Las Minas
PROV_GT20_0315,Fleteros del Altiplano Quezaltepeque - Ref 316,María Gómez,+502 41438706,Chiquimula,Quezaltepeque
PROV_GT20_0316,Cooperativa de Transportistas San Jacinto - Ref 317,Francisco López,+502 42438910,Chiquimula,San Jacinto
PROV_GT20_0317,Rápidos de Occidente Ipala - Ref 318,Tomasa Jax,+502 44359805,Chiquimula,Ipala
PROV_GT21_0318,Shuttles Jalapa - Ref 319,José Tzul,+502 56501900,Jalapa,Jalapa
PROV_GT21_0319,Taxis del Centro San Pedro Pinula - Ref 320,José Tzul,+502 54027358,Jalapa,San Pedro Pinula
PROV_GT21_0320,Transportes San Luis Jilotepeque - Ref 321,Francisco Tzul,+502 50175684,Jalapa,San Luis Jilotepeque
PROV_GT21_0321,Autobuses San Manuel Chaparrón - Ref 322,María López,+502 53821591,Jalapa,San Manuel Chaparrón
PROV_GT21_0322,Lancheros Unidos San Carlos Alzatate - Ref 323,Luisa Pérez,+502 55633801,Jalapa,San Carlos Alzatate
PROV_GT21_0323,Fleteros del Altiplano Monjas - Ref 324,Luisa Marroquín,+502 46565565,Jalapa,Monjas
PROV_GT21_0324,Cooperativa de Transportistas Mataquescuintla - Ref 325,Pedro Guzmán,+502 47137451,Jalapa,Mataquescuintla
PROV_GT22_0325,Rápidos de Occidente Jutiapa - Ref 326,Miguel Yax,+502 44189044,Jutiapa,Jutiapa
PROV_GT22_0326,Shuttles El Progreso - Ref 327,Rosa Marroquín,+502 45483277,Jutiapa,El Progreso
PROV_GT22_0327,Taxis del Centro Santa Catarina Mita - Ref 328,Pedro Marroquín,+502 53836839,Jutiapa,Santa Catarina Mita
PROV_GT22_0328,Transportes Agua Blanca - Ref 329,Juana Chaj,+502 57243154,Jutiapa,Agua Blanca
PROV_GT22_0329,Autobuses Asunción Mita - Ref 330,Rosa Batz,+502 48892896,Jutiapa,Asunción Mita
PROV_GT22_0330,Lancheros Unidos Yupiltepeque - Ref 331,Francisco Gómez,+502 51687139,Jutiapa,Yupiltepeque
PROV_GT22_0331,Fleteros del Altiplano Atescatempa - Ref 332,Miguel Méndez,+502 46805279,Jutiapa,Atescatempa
PROV_GT22_0332,Cooperativa de Transportistas Jerez - Ref 333,Manuel Yax,+502 59565292,Jutiapa,Jerez
PROV_GT22_0333,Rápidos de Occidente El Adelanto - Ref 334,José Hernández,+502 48269348,Jutiapa,El Adelanto
PROV_GT22_0334,Shuttles Zapotitlán - Ref 335,Tomasa Cox,+502 48833488,Jutiapa,Zapotitlán
PROV_GT22_0335,Taxis del Centro Comapa - Ref 336,Esteban Pérez,+502 50816438,Jutiapa,Comapa
PROV_GT22_0336,Transportes Jalpatagua - Ref 337,Rosa Guzmán,+502 47258304,Jutiapa,Jalpatagua
PROV_GT22_0337,Autobuses Conguaco - Ref 338,Pedro Tzoc,+502 44613284,Jutiapa,Conguaco
PROV_GT22_0338,Lancheros Unidos Moyuta - Ref 339,Pedro Tzoc,+502 57336249,Jutiapa,Moyuta
PROV_GT22_0339,Fleteros del Altiplano Pasaco - Ref 340,Rosa Marroquín,+502 41114528,Jutiapa,Pasaco
PROV_GT22_0340,Cooperativa de Transportistas San José Acatempa - Ref 341,Esteban Jax,+502 53421824,Jutiapa,San José Acatempa
PROV_GT22_0341,Rápidos de Occidente Quesada - Ref 342,Juana Marroquín,+502 42376546,Jutiapa,Quesada
PROV_GT01_0342,Shuttles Lago De Amatitlan - Ref 343,Esteban López,+502 59863815,Guatemala,Lago De Amatitlan
PROV_GT01_0343,Taxis del Centro Guatemala - Ref 344,Rosa Cox,+502 42454241,Guatemala,Guatemala
PROV_GT01_0344,Transportes Santa Catarina Pinula - Ref 345,Tomasa Yax,+502 50224631,Guatemala,Santa Catarina Pinula
PROV_GT01_0345,Autobuses San José Pinula - Ref 346,Luisa Méndez,+502 44572368,Guatemala,San José Pinula
PROV_GT01_0346,Lancheros Unidos San José del Golfo - Ref 347,Rosa Tzul,+502 56544274,Guatemala,San José del Golfo
PROV_GT01_0347,Fleteros del Altiplano Palencia - Ref 348,María Guzmán,+502 48854239,Guatemala,Palencia
PROV_GT01_0348,Cooperativa de Transportistas Chinautla - Ref 349,Carlos Pérez,+502 52064532,Guatemala,Chinautla
PROV_GT01_0349,Rápidos de Occidente San Pedro Ayampuc - Ref 350,Esteban López,+502 59341474,Guatemala,San Pedro Ayampuc
PROV_GT01_0350,Shuttles Mixco - Ref 351,Esteban Méndez,+502 50723471,Guatemala,Mixco
PROV_GT01_0351,Taxis del Centro San Pedro Sacatepéquez - Ref 352,María Tzoc,+502 59529166,Guatemala,San Pedro Sacatepéquez
PROV_GT01_0352,Transportes San Juan Sacatepéquez - Ref 353,José Batz,+502 59881285,Guatemala,San Juan Sacatepéquez
PROV_GT01_0353,Autobuses San Raimundo - Ref 354,María Cabrera,+502 59072958,Guatemala,San Raimundo
PROV_GT01_0354,Lancheros Unidos Chuarrancho - Ref 355,Francisco Tzoc,+502 55455846,Guatemala,Chuarrancho
PROV_GT01_0355,Fleteros del Altiplano Fraijanes - Ref 356,Pedro Gómez,+502 59788315,Guatemala,Fraijanes
PROV_GT01_0356,Cooperativa de Transportistas Amatitlán - Ref 357,María Cox,+502 59196665,Guatemala,Amatitlán
PROV_GT01_0357,Rápidos de Occidente Villa Nueva - Ref 358,Esteban Batz,+502 45537167,Guatemala,Villa Nueva
PROV_GT01_0358,Shuttles Villa Canales - Ref 359,Carlos López,+502 53875311,Guatemala,Villa Canales
PROV_GT01_0359,Taxis del Centro Petapa - Ref 360,María Tzul,+502 52986860,Guatemala,Petapa
PROV_GT02_0360,Transportes Guastatoya - Ref 361,María Jax,+502 46185305,El Progreso,Guastatoya
PROV_GT02_0361,Autobuses Morazán - Ref 362,Esteban Gómez,+502 45425910,El Progreso,Morazán
PROV_GT02_0362,Lancheros Unidos San Agustín Acasaguastlán - Ref 363,José Batz,+502 48244756,El Progreso,San Agustín Acasaguastlán
PROV_GT02_0363,Fleteros del Altiplano San Cristóbal Acasaguastlán - Ref 364,Pedro Hernández,+502 59007485,El Progreso,San Cristóbal Acasaguastlán
PROV_GT02_0364,Cooperativa de Transportistas El Jícaro - Ref 365,Luisa Pérez,+502 55286041,El Progreso,El Jícaro
PROV_GT02_0365,Rápidos de Occidente Sanarate - Ref 366,Rosa Jax,+502 51572565,El Progreso,Sanarate
PROV_GT02_0366,Shuttles Sansare - Ref 367,Pedro Tzoc,+502 54015172,El Progreso,Sansare
PROV_GT02_0367,Taxis del Centro San Antonio La Paz - Ref 368,Elena Guzmán,+502 45712471,El Progreso,San Antonio La Paz
PROV_GT03_0368,Transportes Antigua Guatemala - Ref 369,Elena Tzoc,+502 52169855,Sacatepéquez,Antigua Guatemala
PROV_GT03_0369,Autobuses Jocotenango - Ref 370,Pedro Yax,+502 50293734,Sacatepéquez,Jocotenango
PROV_GT03_0370,Lancheros Unidos Pastores - Ref 371,Juana Guzmán,+502 48145286,Sacatepéquez,Pastores
PROV_GT03_0371,Fleteros del Altiplano Sumpango - Ref 372,Pedro Méndez,+502 58372399,Sacatepéquez,Sumpango
PROV_GT03_0372,Cooperativa de Transportistas Santo Domingo Xenacoj - Ref 373,Rosa Cabrera,+502 51099273,Sacatepéquez,Santo Domingo Xenacoj
PROV_GT03_0373,Rápidos de Occidente Santiago Sacatepéquez - Ref 374,Miguel Cox,+502 43518199,Sacatepéquez,Santiago Sacatepéquez
PROV_GT03_0374,Shuttles San Bartolomé Milpas Altas - Ref 375,Diego Guzmán,+502 51399486,Sacatepéquez,San Bartolomé Milpas Altas
PROV_GT03_0375,Taxis del Centro San Lucas Sacatepéquez - Ref 376,Diego López,+502 49134863,Sacatepéquez,San Lucas Sacatepéquez
PROV_GT03_0376,Transportes Santa Lucía Milpas Altas - Ref 377,Rosa Jax,+502 44426210,Sacatepéquez,Santa Lucía Milpas Altas
PROV_GT03_0377,Autobuses Magdalena Milpas Altas - Ref 378,Elena Pérez,+502 56766375,Sacatepéquez,Magdalena Milpas Altas
PROV_GT03_0378,Lancheros Unidos Santa María de Jesús - Ref 379,José Marroquín,+502 43318750,Sacatepéquez,Santa María de Jesús
PROV_GT03_0379,Fleteros del Altiplano Ciudad Vieja - Ref 380,Rosa Jax,+502 49112184,Sacatepéquez,Ciudad Vieja
PROV_GT03_0380,Cooperativa de Transportistas San Miguel Dueñas - Ref 381,Manuel Tzoc,+502 57747422,Sacatepéquez,San Miguel Dueñas
PROV_GT03_0381,Rápidos de Occidente Alotenango - Ref 382,Miguel Batz,+502 57828859,Sacatepéquez,Alotenango
PROV_GT03_0382,Shuttles San Antonio Aguas Calientes - Ref 383,Rosa Hernández,+502 44294660,Sacatepéquez,San Antonio Aguas Calientes
PROV_GT03_0383,Taxis del Centro Santa Catarina Barahona - Ref 384,Juan Batz,+502 56139671,Sacatepéquez,Santa Catarina Barahona
PROV_GT04_0384,Transportes Chimaltenango - Ref 385,María Hernández,+502 48479627,Chimaltenango,Chimaltenango
PROV_GT04_0385,Autobuses San José Poaquil - Ref 386,Carlos Tzoc,+502 43922403,Chimaltenango,San José Poaquil
PROV_GT04_0386,Lancheros Unidos San Martín Jilotepeque - Ref 387,Rosa Chaj,+502 58835862,Chimaltenango,San Martín Jilotepeque
PROV_GT04_0387,Fleteros del Altiplano Comalapa - Ref 388,Rosa Hernández,+502 49464603,Chimaltenango,Comalapa
PROV_GT04_0388,Cooperativa de Transportistas Santa Apolonia - Ref 389,Manuel Marroquín,+502 49037750,Chimaltenango,Santa Apolonia
PROV_GT04_0389,Rápidos de Occidente Tecpán Guatemala - Ref 390,Juan Cox,+502 42646572,Chimaltenango,Tecpán Guatemala
PROV_GT04_0390,Shuttles Patzún - Ref 391,José Jax,+502 40266084,Chimaltenango,Patzún
PROV_GT04_0391,Taxis del Centro Pochuta - Ref 392,Juan López,+502 50184311,Chimaltenango,Pochuta
PROV_GT04_0392,Transportes Patzicía - Ref 393,Juan Cabrera,+502 45394819,Chimaltenango,Patzicía
PROV_GT04_0393,Autobuses Santa Cruz Balanyá - Ref 394,Carlos Méndez,+502 43783655,Chimaltenango,Santa Cruz Balanyá
PROV_GT04_0394,Lancheros Unidos Acatenango - Ref 395,Luisa Cabrera,+502 58292828,Chimaltenango,Acatenango
PROV_GT04_0395,Fleteros del Altiplano Yepocapa - Ref 396,Tomasa Tzoc,+502 45957133,Chimaltenango,Yepocapa
PROV_GT04_0396,Cooperativa de Transportistas San Andrés Itzapa - Ref 397,Luisa López,+502 54165454,Chimaltenango,San Andrés Itzapa
PROV_GT04_0397,Rápidos de Occidente Parramos - Ref 398,Luisa Tzoc,+502 47789716,Chimaltenango,Parramos
PROV_GT04_0398,Shuttles Zaragoza - Ref 399,Diego López,+502 59957115,Chimaltenango,Zaragoza
PROV_GT04_0399,Taxis del Centro El Tejar - Ref 400,Manuel Tzul,+502 48669061,Chimaltenango,El Tejar
PROV_GT05_0400,Transportes Escuintla - Ref 401,Tomasa Méndez,+502 41991085,Escuintla,Escuintla
PROV_GT05_0401,Autobuses Santa Lucía Cotzumalguapa - Ref 402,Elena Tzoc,+502 49133047,Escuintla,Santa Lucía Cotzumalguapa
PROV_GT05_0402,Lancheros Unidos La Democracia - Ref 403,Tomasa Cox,+502 46961169,Escuintla,La Democracia
PROV_GT05_0403,Fleteros del Altiplano Siquinalá - Ref 404,Esteban Cox,+502 48227778,Escuintla,Siquinalá
PROV_GT05_0404,Cooperativa de Transportistas Masagua - Ref 405,José López,+502 45625450,Escuintla,Masagua
PROV_GT05_0405,Rápidos de Occidente Tiquisate - Ref 406,Miguel Gómez,+502 47939521,Escuintla,Tiquisate
PROV_GT05_0406,Shuttles La Gomera - Ref 407,Manuel Jax,+502 55478085,Escuintla,La Gomera
PROV_GT05_0407,Taxis del Centro Guanagazapa - Ref 408,Francisco Pérez,+502 58996682,Escuintla,Guanagazapa
PROV_GT05_0408,Transportes San José - Ref 409,Luisa Batz,+502 48116182,Escuintla,San José
PROV_GT05_0409,Autobuses Iztapa - Ref 410,Manuel Cox,+502 49845086,Escuintla,Iztapa
PROV_GT05_0410,Lancheros Unidos Palín - Ref 411,Diego Cox,+502 49717152,Escuintla,Palín
PROV_GT05_0411,Fleteros del Altiplano San Vicente Pacaya - Ref 412,Rosa Yax,+502 41862150,Escuintla,San Vicente Pacaya
PROV_GT05_0412,Cooperativa de Transportistas Nueva Concepción - Ref 413,Francisco Méndez,+502 41755656,Escuintla,Nueva Concepción
PROV_GT05_0413,Rápidos de Occidente Sipacate - Ref 414,Rosa López,+502 42676259,Escuintla,Sipacate
PROV_GT06_0414,Shuttles Cuilapa - Ref 415,Diego Yax,+502 52289797,Santa Rosa,Cuilapa
PROV_GT06_0415,Taxis del Centro Barberena - Ref 416,Carlos Cox,+502 59338892,Santa Rosa,Barberena
PROV_GT06_0416,Transportes Santa Rosa de Lima - Ref 417,Manuel Guzmán,+502 56789263,Santa Rosa,Santa Rosa de Lima
PROV_GT06_0417,Autobuses Casillas - Ref 418,Carlos Yax,+502 40338791,Santa Rosa,Casillas
PROV_GT06_0418,Lancheros Unidos San Rafael Las Flores - Ref 419,Manuel Cabrera,+502 56844467,Santa Rosa,San Rafael Las Flores
PROV_GT06_0419,Fleteros del Altiplano Oratorio - Ref 420,Pedro Jax,+502 55735075,Santa Rosa,Oratorio
PROV_GT06_0420,Cooperativa de Transportistas San Juan Tecuaco - Ref 421,Luisa Cox,+502 41932183,Santa Rosa,San Juan Tecuaco
PROV_GT06_0421,Rápidos de Occidente Chiquimulilla - Ref 422,Pedro Méndez,+502 41881464,Santa Rosa,Chiquimulilla
PROV_GT06_0422,Shuttles Taxisco - Ref 423,Esteban Cabrera,+502 41546299,Santa Rosa,Taxisco
PROV_GT06_0423,Taxis del Centro Santa María Ixhuatán - Ref 424,Pedro Hernández,+502 47051939,Santa Rosa,Santa María Ixhuatán
PROV_GT06_0424,Transportes Guazacapán - Ref 425,María Tzul,+502 55523605,Santa Rosa,Guazacapán
PROV_GT06_0425,Autobuses Santa Cruz Naranjo - Ref 426,Elena Marroquín,+502 43631102,Santa Rosa,Santa Cruz Naranjo
PROV_GT06_0426,Lancheros Unidos Pueblo Nuevo Viñas - Ref 427,María Gómez,+502 45415968,Santa Rosa,Pueblo Nuevo Viñas
PROV_GT06_0427,Fleteros del Altiplano Nueva Santa Rosa - Ref 428,Juan Cabrera,+502 46103014,Santa Rosa,Nueva Santa Rosa
PROV_GT07_0428,Cooperativa de Transportistas Lago De Atitlan - Ref 429,Luisa Méndez,+502 55624867,Sololá,Lago De Atitlan
PROV_GT07_0429,Rápidos de Occidente Sololá - Ref 430,Luisa Batz,+502 43215445,Sololá,Sololá
PROV_GT07_0430,Shuttles San José Chacayá - Ref 431,María Hernández,+502 50647935,Sololá,San José Chacayá
PROV_GT07_0431,Taxis del Centro Santa María Visitación - Ref 432,María Tzul,+502 40306383,Sololá,Santa María Visitación
PROV_GT07_0432,Transportes Santa Lucía Utatlán - Ref 433,Juana Jax,+502 58351223,Sololá,Santa Lucía Utatlán
PROV_GT07_0433,Autobuses Nahualá - Ref 434,Miguel Tzul,+502 58348388,Sololá,Nahualá
PROV_GT07_0434,Lancheros Unidos Santa Catarina Ixtahuacán - Ref 435,José Hernández,+502 47966006,Sololá,Santa Catarina Ixtahuacán
PROV_GT07_0435,Fleteros del Altiplano Santa Clara La Laguna - Ref 436,Elena Jax,+502 43287134,Sololá,Santa Clara La Laguna
PROV_GT07_0436,Cooperativa de Transportistas Concepción - Ref 437,María Hernández,+502 58058867,Sololá,Concepción
