id_artista,codigo,nombre_completo,genero,fecha_nacimiento,departamento_pcode,municipio_pcode,taller_id,especialidad_principal,reconocimientos
202,ART_GT0901_0201,Santiago Chavez Guarcax,Masculino,1963-08-22,GT09,GT0901,252,Maestro Tallador de Jade,
203,ART_GT0902_0202,Juana Ajcalón Cux,Femenino,1977-09-04,GT09,GT0902,931,Escultor en Madera,
204,ART_GT0903_0203,Lucas Quiché Xiquín,Masculino,2000-05-16,GT09,GT0903,357,Tejedor de Telar de Pie,
205,ART_GT0904_0204,Maria Yac Tuy,Femenino,1987-01-13,GT09,GT0904,870,Escultor en Madera,Premio local de Arte Popular 2018 en San Carlos Sija.
206,ART_GT0905_0205,Jacinto Guarcax Tax,Masculino,1984-12-07,GT09,GT0905,,Constructor de Marimbas,
207,ART_GT0906_0206,Tomasa Cux Coché,Femenino,1986-03-10,GT09,GT0906,529,Talabartero de Cuero,
208,ART_GT0907_0207,Mateo Xiquín Ixcol,Masculino,1961-12-05,GT09,GT0907,712,Tejedor de Telar de Pie,
209,ART_GT0908_0208,Elena Tuy Tzoc,Femenino,1972-01-27,GT09,GT0908,46,Cestero de Fibras Naturales,Premio local de Arte Popular 2011 en San Miguel Sigüila.
210,ART_GT0909_0209,Lucas Tax Chox,Masculino,2004-04-03,GT09,GT0909,258,Danzante de Danza Folklórica,
211,ART_GT0910_0210,Manuela Coché Tupul,Femenino,1956-05-12,GT09,GT0910,,Pintor Paisajista Contemporáneo,
212,ART_GT0911_0211,Mateo Ixcol Mendoza,Masculino,1999-01-01,GT09,GT0911,981,Talabartero de Cuero,
213,ART_GT0912_0212,Isabel Tzoc Chavez,Femenino,1952-05-26,GT09,GT0912,135,Escultor en Madera,Premio local de Arte Popular 2020 en San Martín Sacatepéquez.
214,ART_GT0913_0213,Francisco Chox Ajcalón,Masculino,1960-02-27,GT09,GT0913,39,Tejedora de Telar de Cintura,
215,ART_GT0914_0214,Manuela Tupul Quiché,Femenino,1992-07-03,GT09,GT0914,218,Alfarero Tradicional,
216,ART_GT0915_0215,Lucas Mendoza Yac,Masculino,1955-10-08,GT09,GT0915,,Talabartero de Cuero,
217,ART_GT0916_0216,Isabel Chavez Guarcax,Femenino,1998-12-15,GT09,GT0916,942,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2016 en Zunil.
218,ART_GT0917_0217,Juan Ajcalón Cux,Masculino,2003-03-14,GT09,GT0917,945,Alfarero Tradicional,
219,ART_GT0918_0218,Manuela Quiché Xiquín,Femenino,1950-05-27,GT09,GT0918,225,Alfarero Tradicional,
220,ART_GT0919_0219,Francisco Yac Tuy,Masculino,1983-12-22,GT09,GT0919,634,Escultor en Madera,
221,ART_GT0920_0220,Maria Guarcax Tax,Femenino,1999-08-04,GT09,GT0920,,Tejedora de Telar de Cintura,Premio local de Arte Popular 2021 en Coatepeque.
222,ART_GT0921_0221,Juan Cux Coché,Masculino,1972-05-25,GT09,GT0921,691,Cestero de Fibras Naturales,
223,ART_GT0922_0222,Tomasa Xiquín Ixcol,Femenino,1973-07-19,GT09,GT0922,858,Tejedor de Telar de Pie,
224,ART_GT0923_0223,Mateo Tuy Tzoc,Masculino,1988-07-11,GT09,GT0923,80,Cestero de Fibras Naturales,
225,ART_GT0924_0224,Catarina Tax Chox,Femenino,2001-12-11,GT09,GT0924,551,Tejedora de Telar de Cintura,Premio local de Arte Popular 2025 en Palestina de Los Altos.
226,ART_GT1201_0225,Juan Coché Tupul,Masculino,1956-07-03,GT12,GT1201,,Talabartero de Cuero,
227,ART_GT1202_0226,Manuela Ixcol Mendoza,Femenino,1996-07-17,GT12,GT1202,322,Maestro Tallador de Jade,
228,ART_GT1203_0227,Lucas Tzoc Chavez,Masculino,1981-06-21,GT12,GT1203,44,Talabartero de Cuero,
229,ART_GT1204_0228,Juana Chox Ajcalón,Femenino,1956-01-21,GT12,GT1204,669,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2020 en Comitancillo.
230,ART_GT1205_0229,Gaspar Tupul Quiché,Masculino,1978-03-27,GT12,GT1205,608,Tejedor de Telar de Pie,
231,ART_GT1206_0230,Antonia Mendoza Yac,Femenino,1955-07-27,GT12,GT1206,,Tejedora de Telar de Cintura,
232,ART_GT1207_0231,Jacinto Chavez Guarcax,Masculino,1952-12-13,GT12,GT1207,824,Constructor de Marimbas,
233,ART_GT1208_0232,Maria Ajcalón Cux,Femenino,2005-02-16,GT12,GT1208,638,Talabartero de Cuero,Premio local de Arte Popular 2023 en Sibinal.
234,ART_GT1209_0233,Pedro Quiché Xiquín,Masculino,1956-06-26,GT12,GT1209,165,Tejedora de Telar de Cintura,
235,ART_GT1210_0234,Tomasa Yac Tuy,Femenino,1997-07-16,GT12,GT1210,845,Danzante de Danza Folklórica,
236,ART_GT1211_0235,Lucas Guarcax Tax,Masculino,1987-03-20,GT12,GT1211,,Tejedor de Telar de Pie,
237,ART_GT1212_0236,Elena Cux Coché,Femenino,1950-03-06,GT12,GT1212,106,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2011 en Nuevo Progreso.
238,ART_GT1213_0237,Santiago Xiquín Ixcol,Masculino,1963-11-17,GT12,GT1213,295,Talabartero de Cuero,
239,ART_GT1214_0238,Antonia Tuy Tzoc,Femenino,1978-06-05,GT12,GT1214,91,Maestro Tallador de Jade,
240,ART_GT1215_0239,Tomas Tax Chox,Masculino,1983-05-07,GT12,GT1215,1005,Pintor Primitivista,
241,ART_GT1216_0240,Petrona Coché Tupul,Femenino,1950-09-18,GT12,GT1216,,Intérprete de Marimba,Premio local de Arte Popular 2014 en Catarina.
242,ART_GT1217_0241,Miguel Ixcol Mendoza,Masculino,1969-08-13,GT12,GT1217,715,Tejedora de Telar de Cintura,
243,ART_GT1218_0242,Maria Tzoc Chavez,Femenino,1971-04-11,GT12,GT1218,187,Constructor de Marimbas,
244,ART_GT1219_0243,Miguel Chox Ajcalón,Masculino,1950-03-12,GT12,GT1219,335,Cestero de Fibras Naturales,
245,ART_GT1220_0244,Maria Tupul Quiché,Femenino,1995-06-26,GT12,GT1220,118,Escultor en Madera,Premio local de Arte Popular 2018 en El Quetzal.
246,ART_GT1221_0245,Francisco Mendoza Yac,Masculino,1993-02-16,GT12,GT1221,,Cestero de Fibras Naturales,
247,ART_GT1222_0246,Tomasa Chavez Guarcax,Femenino,1956-06-05,GT12,GT1222,12,Intérprete de Marimba,
248,ART_GT1223_0247,Francisco Ajcalón Cux,Masculino,2002-06-26,GT12,GT1223,418,Alfarero Tradicional,
249,ART_GT1224_0248,Catarina Quiché Xiquín,Femenino,1951-11-11,GT12,GT1224,537,Intérprete de Marimba,Premio local de Arte Popular 2017 en San José Ojetenam.
250,ART_GT1225_0249,Gaspar Yac Tuy,Masculino,1987-08-16,GT12,GT1225,670,Maestro Tallador de Jade,
251,ART_GT1226_0250,Maria Guarcax Tax,Femenino,1977-12-02,GT12,GT1226,,Escultor en Madera,
252,ART_GT1227_0251,Juan Cux Coché,Masculino,1961-08-21,GT12,GT1227,984,Talabartero de Cuero,
253,ART_GT1228_0252,Magdalena Xiquín Ixcol,Femenino,2001-04-14,GT12,GT1228,198,Alfarero Tradicional,Premio local de Arte Popular 2014 en Río Blanco.
254,ART_GT1229_0253,Juan Tuy Tzoc,Masculino,1998-02-07,GT12,GT1229,124,Tejedora de Telar de Cintura,
255,ART_GT1230_0254,Catarina Tax Chox,Femenino,1981-03-17,GT12,GT1230,550,Tejedora de Telar de Cintura,
256,ART_GT1301_0255,Tomas Coché Tupul,Masculino,1983-01-25,GT13,GT1301,,Constructor de Marimbas,
257,ART_GT1302_0256,Magdalena Ixcol Mendoza,Femenino,1984-10-24,GT13,GT1302,1005,Cestero de Fibras Naturales,Premio local de Arte Popular 2015 en Chiantla.
258,ART_GT1303_0257,Lucas Tzoc Chavez,Masculino,2003-04-13,GT13,GT1303,51,Tejedora de Telar de Cintura,
259,ART_GT1304_0258,Manuela Chox Ajcalón,Femenino,1963-04-11,GT13,GT1304,1005,Pintor Paisajista Contemporáneo,
260,ART_GT1305_0259,Santiago Tupul Quiché,Masculino,1994-05-07,GT13,GT1305,49,Danzante de Danza Folklórica,
261,ART_GT1306_0260,Petrona Mendoza Yac,Femenino,1969-08-05,GT13,GT1306,,Constructor de Marimbas,Premio local de Arte Popular 2020 en San Pedro Necta.
262,ART_GT1307_0261,Mateo Chavez Guarcax,Masculino,1998-07-11,GT13,GT1307,816,Cestero de Fibras Naturales,
263,ART_GT1308_0262,Manuela Ajcalón Cux,Femenino,1999-09-28,GT13,GT1308,22,Maestro Tallador de Jade,
264,ART_GT1309_0263,Juan Quiché Xiquín,Masculino,1952-10-01,GT13,GT1309,634,Maestro Tallador de Jade,
265,ART_GT1310_0264,Catarina Yac Tuy,Femenino,1952-10-19,GT13,GT1310,477,Escultor en Madera,Premio local de Arte Popular 2014 en Santa Bárbara.
266,ART_GT1311_0265,Pedro Guarcax Tax,Masculino,1989-06-01,GT13,GT1311,,Constructor de Marimbas,
267,ART_GT1312_0266,Isabel Cux Coché,Femenino,1977-07-06,GT13,GT1312,443,Danzante de Danza Folklórica,
268,ART_GT1313_0267,Francisco Xiquín Ixcol,Masculino,1951-11-20,GT13,GT1313,813,Intérprete de Marimba,
269,ART_GT1314_0268,Juana Tuy Tzoc,Femenino,1982-07-16,GT13,GT1314,95,Intérprete de Marimba,Premio local de Arte Popular 2021 en San Rafael La Independencia.
270,ART_GT1315_0269,Miguel Tax Chox,Masculino,2002-01-05,GT13,GT1315,257,Cestero de Fibras Naturales,
271,ART_GT1316_0270,Isabel Coché Tupul,Femenino,1988-12-26,GT13,GT1316,,Talabartero de Cuero,
272,ART_GT1317_0271,Jacinto Ixcol Mendoza,Masculino,1988-06-28,GT13,GT1317,729,Maestro Tallador de Jade,
273,ART_GT1318_0272,Juana Tzoc Chavez,Femenino,1965-05-16,GT13,GT1318,812,Maestro Tallador de Jade,Premio local de Arte Popular 2024 en San Mateo Ixtatán.
274,ART_GT1319_0273,Jacinto Chox Ajcalón,Masculino,1976-05-15,GT13,GT1319,660,Escultor en Madera,
275,ART_GT1320_0274,Manuela Tupul Quiché,Femenino,1971-02-15,GT13,GT1320,634,Pintor Paisajista Contemporáneo,
276,ART_GT1321_0275,Francisco Mendoza Yac,Masculino,1977-04-06,GT13,GT1321,,Pintor Paisajista Contemporáneo,
277,ART_GT1322_0276,Antonia Chavez Guarcax,Femenino,1967-03-19,GT13,GT1322,521,Talabartero de Cuero,Premio local de Arte Popular 2016 en Concepción Huista.
278,ART_GT1323_0277,Gaspar Ajcalón Cux,Masculino,1984-04-05,GT13,GT1323,451,Constructor de Marimbas,
279,ART_GT1324_0278,Manuela Quiché Xiquín,Femenino,1953-02-02,GT13,GT1324,244,Danzante de Danza Folklórica,
280,ART_GT1325_0279,Santiago Yac Tuy,Masculino,1958-11-19,GT13,GT1325,653,Constructor de Marimbas,
281,ART_GT1326_0280,Maria Guarcax Tax,Femenino,2000-05-23,GT13,GT1326,,Constructor de Marimbas,Premio local de Arte Popular 2024 en Barillas.
282,ART_GT1327_0281,Miguel Cux Coché,Masculino,1985-01-19,GT13,GT1327,328,Talabartero de Cuero,
283,ART_GT1328_0282,Isabel Xiquín Ixcol,Femenino,1986-01-26,GT13,GT1328,778,Cestero de Fibras Naturales,
284,ART_GT1329_0283,Lucas Tuy Tzoc,Masculino,1963-05-06,GT13,GT1329,163,Pintor Primitivista,
285,ART_GT1330_0284,Juana Tax Chox,Femenino,1971-02-04,GT13,GT1330,50,Constructor de Marimbas,Premio local de Arte Popular 2020 en Santiago Chimaltenango.
286,ART_GT1331_0285,Pedro Coché Tupul,Masculino,1992-11-12,GT13,GT1331,,Alfarero Tradicional,
287,ART_GT1332_0286,Magdalena Ixcol Mendoza,Femenino,1981-06-16,GT13,GT1332,297,Intérprete de Marimba,
288,ART_GT1333_0287,Mateo Tzoc Chavez,Masculino,1995-11-24,GT13,GT1333,409,Alfarero Tradicional,
289,ART_GT1401_0288,Elena Chox Ajcalón,Femenino,1980-02-06,GT14,GT1401,486,Constructor de Marimbas,Premio local de Arte Popular 2010 en Santa Cruz del Quiché.
290,ART_GT1402_0289,Juan Tupul Quiché,Masculino,1968-05-21,GT14,GT1402,118,Pintor Paisajista Contemporáneo,
291,ART_GT1403_0290,Catarina Mendoza Yac,Femenino,2002-05-28,GT14,GT1403,,Tejedor de Telar de Pie,
292,ART_GT1404_0291,Juan Chavez Guarcax,Masculino,1960-09-23,GT14,GT1404,811,Danzante de Danza Folklórica,
293,ART_GT1405_0292,Catarina Ajcalón Cux,Femenino,1976-12-09,GT14,GT1405,725,Cestero de Fibras Naturales,Premio local de Arte Popular 2011 en Chajul.
294,ART_GT1406_0293,Francisco Quiché Xiquín,Masculino,1984-08-16,GT14,GT1406,1018,Cestero de Fibras Naturales,
295,ART_GT1407_0294,Juana Yac Tuy,Femenino,1998-12-01,GT14,GT1407,1002,Danzante de Danza Folklórica,
296,ART_GT1408_0295,Jacinto Guarcax Tax,Masculino,1957-06-10,GT14,GT1408,,Pintor Primitivista,
297,ART_GT1409_0296,Magdalena Cux Coché,Femenino,1990-01-05,GT14,GT1409,473,Cestero de Fibras Naturales,Premio local de Arte Popular 2025 en San Pedro Jocopilas.
298,ART_GT1410_0297,Juan Xiquín Ixcol,Masculino,2003-03-17,GT14,GT1410,310,Tejedor de Telar de Pie,
299,ART_GT1411_0298,Magdalena Tuy Tzoc,Femenino,1969-10-13,GT14,GT1411,100,Constructor de Marimbas,
300,ART_GT1412_0299,Juan Tax Chox,Masculino,1959-10-03,GT14,GT1412,552,Pintor Primitivista,
301,ART_GT1413_0300,Elena Coché Tupul,Femenino,1969-07-04,GT14,GT1413,,Intérprete de Marimba,Premio local de Arte Popular 2014 en Nebaj.
302,ART_GT1414_0301,Mateo Ixcol Mendoza,Masculino,1967-01-05,GT14,GT1414,216,Intérprete de Marimba,
303,ART_GT1415_0302,Magdalena Tzoc Chavez,Femenino,1969-12-28,GT14,GT1415,960,Cestero de Fibras Naturales,
304,ART_GT1416_0303,Francisco Chox Ajcalón,Masculino,2000-11-11,GT14,GT1416,236,Constructor de Marimbas,
305,ART_GT1417_0304,Elena Tupul Quiché,Femenino,1966-04-23,GT14,GT1417,708,Talabartero de Cuero,Premio local de Arte Popular 2017 en San Bartolomé Jocotenango.
306,ART_GT1418_0305,Miguel Mendoza Yac,Masculino,1994-09-17,GT14,GT1418,,Talabartero de Cuero,
307,ART_GT1419_0306,Antonia Chavez Guarcax,Femenino,2004-11-11,GT14,GT1419,610,Alfarero Tradicional,
308,ART_GT1420_0307,Tomas Ajcalón Cux,Masculino,1964-01-16,GT14,GT1420,376,Tejedora de Telar de Cintura,
309,ART_GT1421_0308,Elena Quiché Xiquín,Femenino,1993-11-21,GT14,GT1421,516,Maestro Tallador de Jade,Premio local de Arte Popular 2024 en Pachalum.
310,ART_GT1501_0309,Santiago Yac Tuy,Masculino,1971-06-25,GT15,GT1501,29,Talabartero de Cuero,
311,ART_GT1502_0310,Antonia Guarcax Tax,Femenino,1964-06-21,GT15,GT1502,,Danzante de Danza Folklórica,
312,ART_GT1503_0311,Lucas Cux Coché,Masculino,1959-08-03,GT15,GT1503,275,Escultor en Madera,
313,ART_GT1504_0312,Tomasa Xiquín Ixcol,Femenino,2004-02-09,GT15,GT1504,210,Cestero de Fibras Naturales,Premio local de Arte Popular 2025 en Cubulco.
314,ART_GT1505_0313,Juan Tuy Tzoc,Masculino,1961-11-12,GT15,GT1505,995,Pintor Primitivista,
315,ART_GT1506_0314,Elena Tax Chox,Femenino,2001-06-08,GT15,GT1506,531,Danzante de Danza Folklórica,
316,ART_GT1507_0315,Santiago Coché Tupul,Masculino,1971-11-17,GT15,GT1507,,Constructor de Marimbas,
317,ART_GT1508_0316,Antonia Ixcol Mendoza,Femenino,1986-01-13,GT15,GT1508,307,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2024 en Purulhá.
318,ART_GT0401_0317,Pedro Tzoc Chavez,Masculino,1987-07-13,GT04,GT0401,266,Alfarero Tradicional,
319,ART_GT0402_0318,Juana Chox Ajcalón,Femenino,1981-08-03,GT04,GT0402,901,Tejedor de Telar de Pie,
320,ART_GT0403_0319,Juan Tupul Quiché,Masculino,1965-11-24,GT04,GT0403,935,Constructor de Marimbas,
321,ART_GT0404_0320,Catarina Mendoza Yac,Femenino,1979-10-09,GT04,GT0404,,Intérprete de Marimba,Premio local de Arte Popular 2013 en Comalapa.
322,ART_GT0405_0321,Gaspar Chavez Guarcax,Masculino,1970-09-24,GT04,GT0405,110,Maestro Tallador de Jade,
323,ART_GT0406_0322,Tomasa Ajcalón Cux,Femenino,1952-08-13,GT04,GT0406,172,Cestero de Fibras Naturales,
324,ART_GT0407_0323,Pedro Quiché Xiquín,Masculino,2000-06-06,GT04,GT0407,928,Pintor Primitivista,
325,ART_GT0408_0324,Isabel Yac Tuy,Femenino,1965-05-22,GT04,GT0408,308,Danzante de Danza Folklórica,Premio local de Arte Popular 2017 en Pochuta.
326,ART_GT0409_0325,Jacinto Guarcax Tax,Masculino,1964-07-03,GT04,GT0409,,Tejedora de Telar de Cintura,
327,ART_GT0410_0326,Magdalena Cux Coché,Femenino,1976-06-21,GT04,GT0410,805,Constructor de Marimbas,
328,ART_GT0411_0327,Lucas Xiquín Ixcol,Masculino,1980-09-11,GT04,GT0411,62,Danzante de Danza Folklórica,
329,ART_GT0412_0328,Catarina Tuy Tzoc,Femenino,1990-01-21,GT04,GT0412,442,Constructor de Marimbas,Premio local de Arte Popular 2024 en Yepocapa.
330,ART_GT0413_0329,Santiago Tax Chox,Masculino,1987-11-05,GT04,GT0413,658,Pintor Primitivista,
331,ART_GT0414_0330,Elena Coché Tupul,Femenino,1957-03-15,GT04,GT0414,,Constructor de Marimbas,
332,ART_GT0415_0331,Miguel Ixcol Mendoza,Masculino,1986-05-15,GT04,GT0415,808,Pintor Paisajista Contemporáneo,
333,ART_GT0416_0332,Manuela Tzoc Chavez,Femenino,1970-08-16,GT04,GT0416,216,Talabartero de Cuero,Premio local de Arte Popular 2013 en El Tejar.
334,ART_GT0700_0333,Gaspar Chox Ajcalón,Masculino,2002-01-07,GT07,GT0700,38,Constructor de Marimbas,
335,ART_GT0701_0334,Isabel Tupul Quiché,Femenino,1996-03-20,GT07,GT0701,468,Tejedora de Telar de Cintura,
336,ART_GT0702_0335,Gaspar Mendoza Yac,Masculino,1964-09-07,GT07,GT0702,,Tejedora de Telar de Cintura,
337,ART_GT0703_0336,Catarina Chavez Guarcax,Femenino,1979-02-01,GT07,GT0703,77,Alfarero Tradicional,Premio local de Arte Popular 2024 en Santa María Visitación.
338,ART_GT0704_0337,Lucas Ajcalón Cux,Masculino,2002-12-10,GT07,GT0704,640,Tejedor de Telar de Pie,
339,ART_GT0705_0338,Magdalena Quiché Xiquín,Femenino,1968-07-25,GT07,GT0705,972,Pintor Primitivista,
340,ART_GT0706_0339,Jacinto Yac Tuy,Masculino,1965-11-18,GT07,GT0706,729,Constructor de Marimbas,
341,ART_GT0707_0340,Tomasa Guarcax Tax,Femenino,1995-08-02,GT07,GT0707,,Maestro Tallador de Jade,Premio local de Arte Popular 2020 en Santa Clara La Laguna.
342,ART_GT0708_0341,Santiago Cux Coché,Masculino,2000-08-23,GT07,GT0708,89,Pintor Primitivista,
343,ART_GT0709_0342,Antonia Xiquín Ixcol,Femenino,2004-05-06,GT07,GT0709,93,Pintor Paisajista Contemporáneo,
344,ART_GT0710_0343,Jacinto Tuy Tzoc,Masculino,1999-02-26,GT07,GT0710,860,Alfarero Tradicional,
345,ART_GT0711_0344,Elena Tax Chox,Femenino,1997-12-24,GT07,GT0711,181,Cestero de Fibras Naturales,Premio local de Arte Popular 2019 en Santa Catarina Palopó.
346,ART_GT0712_0345,Gaspar Coché Tupul,Masculino,1992-09-14,GT07,GT0712,,Pintor Primitivista,
347,ART_GT0713_0346,Petrona Ixcol Mendoza,Femenino,1981-07-10,GT07,GT0713,508,Tejedora de Telar de Cintura,
348,ART_GT0714_0347,Mateo Tzoc Chavez,Masculino,1979-10-19,GT07,GT0714,872,Maestro Tallador de Jade,
349,ART_GT0715_0348,Magdalena Chox Ajcalón,Femenino,1992-05-28,GT07,GT0715,103,Talabartero de Cuero,Premio local de Arte Popular 2015 en San Pablo La Laguna.
350,ART_GT0716_0349,Jacinto Tupul Quiché,Masculino,1961-09-11,GT07,GT0716,767,Alfarero Tradicional,
351,ART_GT0717_0350,Catarina Mendoza Yac,Femenino,1989-05-06,GT07,GT0717,,Maestro Tallador de Jade,
352,ART_GT0718_0351,Santiago Chavez Guarcax,Masculino,1950-04-15,GT07,GT0718,936,Tejedora de Telar de Cintura,
353,ART_GT0719_0352,Tomasa Ajcalón Cux,Femenino,1957-10-03,GT07,GT0719,885,Danzante de Danza Folklórica,Premio local de Arte Popular 2012 en Santiago Atitlán.
354,ART_GT0801_0353,Miguel Quiché Xiquín,Masculino,1957-10-11,GT08,GT0801,883,Escultor en Madera,
355,ART_GT0802_0354,Antonia Yac Tuy,Femenino,1958-09-11,GT08,GT0802,575,Pintor Paisajista Contemporáneo,
356,ART_GT0803_0355,Lucas Guarcax Tax,Masculino,1997-09-17,GT08,GT0803,,Maestro Tallador de Jade,
357,ART_GT0804_0356,Antonia Cux Coché,Femenino,1991-05-12,GT08,GT0804,873,Cestero de Fibras Naturales,Premio local de Arte Popular 2010 en San Andrés Xecul.
358,ART_GT0805_0357,Santiago Xiquín Ixcol,Masculino,1998-10-18,GT08,GT0805,954,Alfarero Tradicional,
359,ART_GT0806_0358,Tomasa Tuy Tzoc,Femenino,1969-11-12,GT08,GT0806,541,Talabartero de Cuero,
360,ART_GT0807_0359,Francisco Tax Chox,Masculino,1955-10-18,GT08,GT0807,370,Talabartero de Cuero,
361,ART_GT0808_0360,Antonia Coché Tupul,Femenino,1993-12-20,GT08,GT0808,,Danzante de Danza Folklórica,Premio local de Arte Popular 2022 en San Bartolo.
362,ART_GT0901_0361,Santiago Ixcol Mendoza,Masculino,1983-12-10,GT09,GT0901,820,Maestro Tallador de Jade,
363,ART_GT0902_0362,Antonia Tzoc Chavez,Femenino,1969-11-03,GT09,GT0902,392,Talabartero de Cuero,
364,ART_GT0903_0363,Jacinto Chox Ajcalón,Masculino,1972-09-08,GT09,GT0903,346,Pintor Paisajista Contemporáneo,
365,ART_GT0904_0364,Isabel Tupul Quiché,Femenino,1988-07-26,GT09,GT0904,407,Danzante de Danza Folklórica,Premio local de Arte Popular 2018 en San Carlos Sija.
366,ART_GT0905_0365,Francisco Mendoza Yac,Masculino,1954-10-08,GT09,GT0905,,Tejedor de Telar de Pie,
367,ART_GT0906_0366,Juana Chavez Guarcax,Femenino,1988-12-17,GT09,GT0906,668,Cestero de Fibras Naturales,
368,ART_GT0907_0367,Jacinto Ajcalón Cux,Masculino,1981-05-09,GT09,GT0907,342,Maestro Tallador de Jade,
369,ART_GT0908_0368,Manuela Quiché Xiquín,Femenino,1967-12-24,GT09,GT0908,659,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2011 en San Miguel Sigüila.
370,ART_GT0909_0369,Mateo Yac Tuy,Masculino,1951-01-13,GT09,GT0909,960,Alfarero Tradicional,
371,ART_GT0910_0370,Elena Guarcax Tax,Femenino,1976-12-16,GT09,GT0910,,Talabartero de Cuero,
372,ART_GT0911_0371,Jacinto Cux Coché,Masculino,1997-03-10,GT09,GT0911,282,Maestro Tallador de Jade,
373,ART_GT0912_0372,Antonia Xiquín Ixcol,Femenino,1976-07-15,GT09,GT0912,805,Cestero de Fibras Naturales,Premio local de Arte Popular 2014 en San Martín Sacatepéquez.
374,ART_GT0913_0373,Jacinto Tuy Tzoc,Masculino,1972-03-02,GT09,GT0913,415,Talabartero de Cuero,
375,ART_GT0914_0374,Petrona Tax Chox,Femenino,1996-01-03,GT09,GT0914,43,Escultor en Madera,
376,ART_GT0915_0375,Lucas Coché Tupul,Masculino,1957-07-14,GT09,GT0915,,Tejedor de Telar de Pie,
377,ART_GT0916_0376,Maria Ixcol Mendoza,Femenino,1997-05-22,GT09,GT0916,594,Pintor Paisajista Contemporáneo,Premio local de Arte Popular 2015 en Zunil.
378,ART_GT0917_0377,Tomas Tzoc Chavez,Masculino,2003-08-10,GT09,GT0917,628,Constructor de Marimbas,
379,ART_GT0918_0378,Antonia Chox Ajcalón,Femenino,1986-12-18,GT09,GT0918,661,Escultor en Madera,
380,ART_GT0919_0379,Santiago Tupul Quiché,Masculino,2005-06-09,GT09,GT0919,54,Pintor Primitivista,
381,ART_GT0920_0380,Antonia Mendoza Yac,Femenino,1991-10-03,GT09,GT0920,,Maestro Tallador de Jade,Premio local de Arte Popular 2012 en Coatepeque.
382,ART_GT0921_0381,Santiago Chavez Guarcax,Masculino,1957-08-06,GT09,GT0921,676,Escultor en Madera,
383,ART_GT0922_0382,Juana Ajcalón Cux,Femenino,1970-12-26,GT09,GT0922,73,Escultor en Madera,
384,ART_GT0923_0383,Juan Quiché Xiquín,Masculino,2002-05-06,GT09,GT0923,998,Alfarero Tradicional,
385,ART_GT0924_0384,Isabel Yac Tuy,Femenino,1980-06-17,GT09,GT0924,576,Escultor en Madera,Premio local de Arte Popular 2023 en Palestina de Los Altos.
386,ART_GT1201_0385,Juan Guarcax Tax,Masculino,1977-09-07,GT12,GT1201,,Constructor de Marimbas,
387,ART_GT1202_0386,Manuela Cux Coché,Femenino,1976-07-12,GT12,GT1202,492,Intérprete de Marimba,
388,ART_GT1203_0387,Miguel Xiquín Ixcol,Masculino,1974-08-03,GT12,GT1203,939,Pintor Primitivista,
389,ART_GT1204_0388,Magdalena Tuy Tzoc,Femenino,1971-06-27,GT12,GT1204,479,Escultor en Madera,Premio local de Arte Popular 2020 en Comitancillo.
390,ART_GT1205_0389,Pedro Tax Chox,Masculino,1968-03-24,GT12,GT1205,994,Tejedora de Telar de Cintura,
391,ART_GT1206_0390,Juana Coché Tupul,Femenino,1957-06-13,GT12,GT1206,,Cestero de Fibras Naturales,
392,ART_GT1207_0391,Francisco Ixcol Mendoza,Masculino,1964-09-25,GT12,GT1207,223,Tejedor de Telar de Pie,
393,ART_GT1208_0392,Manuela Tzoc Chavez,Femenino,1990-12-21,GT12,GT1208,783,Danzante de Danza Folklórica,Premio local de Arte Popular 2025 en Sibinal.
394,ART_GT1209_0393,Lucas Chox Ajcalón,Masculino,1973-06-18,GT12,GT1209,341,Tejedor de Telar de Pie,
395,ART_GT1210_0394,Catarina Tupul Quiché,Femenino,1985-05-27,GT12,GT1210,75,Maestro Tallador de Jade,
396,ART_GT1211_0395,Jacinto Mendoza Yac,Masculino,1954-02-19,GT12,GT1211,,Cestero de Fibras Naturales,
397,ART_GT1212_0396,Juana Chavez Guarcax,Femenino,1975-03-23,GT12,GT1212,67,Escultor en Madera,Premio local de Arte Popular 2018 en Nuevo Progreso.
398,ART_GT1213_0397,Gaspar Ajcalón Cux,Masculino,1995-03-25,GT12,GT1213,984,Pintor Paisajista Contemporáneo,
399,ART_GT1214_0398,Manuela Quiché Xiquín,Femenino,1967-12-18,GT12,GT1214,953,Cestero de Fibras Naturales,
400,ART_GT1215_0399,Mateo Yac Tuy,Masculino,1966-02-22,GT12,GT1215,897,Maestro Tallador de Jade,
401,ART_GT1216_0400,Catarina Guarcax Tax,Femenino,1981-04-07,GT12,GT1216,,Talabartero de Cuero,Premio local de Arte Popular 2012 en Catarina.
402,ART_GT1217_0401,Pedro Cux Coché,Masculino,1983-11-08,GT12,GT1217,391,Tejedor de Telar de Pie,
403,ART_GT1218_0402,Tomasa Xiquín Ixcol,Femenino,1958-06-11,GT12,GT1218,723,Intérprete de Marimba,
